timestamp,dept_id,node_id,active_users,cpu_utilization_pct,memory_usage_gb
2026-08-01 00:00:00,8,1,472,42.69,28.58
2026-08-01 00:00:00,9,2,264,35.61,13.47
2026-08-01 00:00:00,5,3,161,38.71,13.51
2026-08-01 00:00:00,2,4,163,15.92,19.88
2026-08-01 00:00:00,3,5,411,46.87,14.89
2026-08-01 01:00:00,4,1,246,28.02,23.12
2026-08-01 01:00:00,3,2,367,44.18,22.43
2026-08-01 01:00:00,6,3,201,33.98,22.63
2026-08-01 01:00:00,3,4,131,22.2,28.53
2026-08-01 01:00:00,9,5,162,15.22,24.2
2026-08-01 02:00:00,7,1,317,32.78,19.09
2026-08-01 02:00:00,2,2,243,31.19,8.85
2026-08-01 02:00:00,5,3,128,24.83,11.61
2026-08-01 02:00:00,7,4,145,22.48,30.49
2026-08-01 02:00:00,2,5,417,43.93,22.12
2026-08-01 03:00:00,2,1,248,30.28,22.12
2026-08-01 03:00:00,1,2,434,48.95,8.28
2026-08-01 03:00:00,3,3,194,38.49,8.02
2026-08-01 03:00:00,2,4,395,42.53,8.53
2026-08-01 03:00:00,1,5,363,44.12,28.13
2026-08-01 04:00:00,7,1,73,15.59,16.69
2026-08-01 04:00:00,2,2,393,40.36,27.07
2026-08-01 04:00:00,3,3,315,46.54,31.04
2026-08-01 04:00:00,3,4,203,20.95,27.68
2026-08-01 04:00:00,7,5,328,40.41,22.08
2026-08-01 05:00:00,8,1,398,37.59,22.95
2026-08-01 05:00:00,8,2,100,19.07,9.81
2026-08-01 05:00:00,2,3,73,17.23,24.5
2026-08-01 05:00:00,9,4,338,33.94,24.99
2026-08-01 05:00:00,8,5,217,27.41,13.96
2026-08-01 06:00:00,8,1,464,44.06,22.68
2026-08-01 06:00:00,1,2,312,40.5,28.58
2026-08-01 06:00:00,9,3,347,27.73,13.72
2026-08-01 06:00:00,1,4,100,21.05,13.65
2026-08-01 06:00:00,3,5,197,21.8,26.13
2026-08-01 07:00:00,8,1,116,23.33,12.32
2026-08-01 07:00:00,6,2,352,34.84,20.6
2026-08-01 07:00:00,6,3,104,19.65,21.25
2026-08-01 07:00:00,4,4,224,31.74,16.37
2026-08-01 07:00:00,1,5,230,20.85,12.85
2026-08-01 08:00:00,3,1,305,34.36,13.14
2026-08-01 08:00:00,6,2,101,24.92,12.66
2026-08-01 08:00:00,9,3,299,41.47,17.92
2026-08-01 08:00:00,7,4,141,26.87,10.06
2026-08-01 08:00:00,2,5,305,38.19,16.85
2026-08-01 09:00:00,9,1,133,22.89,15.13
2026-08-01 09:00:00,6,2,175,18.08,10.82
2026-08-01 09:00:00,4,3,443,32.5,8.64
2026-08-01 09:00:00,1,4,185,23.99,22.22
2026-08-01 09:00:00,4,5,316,40.52,10.69
2026-08-01 10:00:00,9,1,597,62.49,18.28
2026-08-01 10:00:00,6,2,390,62.74,30.53
2026-08-01 10:00:00,4,3,446,75.86,15.21
2026-08-01 10:00:00,2,4,1174,88.16,29.64
2026-08-01 10:00:00,1,5,546,85.78,21.16
2026-08-01 11:00:00,6,1,989,88.79,16.3
2026-08-01 11:00:00,1,2,1080,86.5,30.23
2026-08-01 11:00:00,7,3,657,81.77,9.84
2026-08-01 11:00:00,9,4,813,73.1,12.37
2026-08-01 11:00:00,5,5,768,59.68,8.46
2026-08-01 12:00:00,1,1,707,78.48,10.88
2026-08-01 12:00:00,1,2,467,59.24,12.11
2026-08-01 12:00:00,4,3,386,78.18,24.69
2026-08-01 12:00:00,5,4,611,46.95,26.99
2026-08-01 12:00:00,2,5,641,50.02,19.52
2026-08-01 13:00:00,6,1,904,65.18,12.71
2026-08-01 13:00:00,3,2,566,70.07,27.74
2026-08-01 13:00:00,5,3,1121,84.61,18.03
2026-08-01 13:00:00,3,4,556,47.96,12.32
2026-08-01 13:00:00,6,5,424,79.71,18.5
2026-08-01 14:00:00,2,1,617,75.12,23.52
2026-08-01 14:00:00,4,2,910,85.12,25.14
2026-08-01 14:00:00,5,3,637,85.38,31.83
